all	nonSym	cladeA	cladeB	cladeC	cladeD
27843	0	26763	40	973	67	SRR5573974_symbiont_counts.txt
29085	0	28260	10	752	63	SRR5573975_symbiont_counts.txt
26071	0	25127	28	855	61	SRR5573976_symbiont_counts.txt
24464	0	23368	43	969	84	SRR5573977_symbiont_counts.txt
30507	0	29661	21	744	81	SRR5573978_symbiont_counts.txt
34487	0	33703	20	726	38	SRR5573979_symbiont_counts.txt
26656	0	25834	19	719	84	SRR5573980_symbiont_counts.txt
26563	0	25602	32	874	55	SRR5573981_symbiont_counts.txt
22969	0	22071	25	817	56	SRR5573982_symbiont_counts.txt
34311	0	33907	12	322	70	SRR5573983_symbiont_counts.txt
24425	0	23759	5	619	42	SRR5573984_symbiont_counts.txt
22856	0	21999	16	791	50	SRR5573985_symbiont_counts.txt
